name,category,kcal_100,protein_100,fat_100,carbs_100,fiber_100,proposed_group,confidence,method,proposed_cooking_tags,proposed_allergens,proposed_diet_exclusions,default_scaling,reason,decision
"Pierś z kurczaka, grillowana",Mięso i drób,165,31.0,3.6,0.0,0.0,białko_chude,NISKA,SŁOWO_KLUCZOWE,"smażenie,pieczenie",,meat,LINIOWY,słowo_kluczowe: białko_chude; kategoria Mięso i drób; wartości po obróbce termicznej (katalog diet liczy na surowo),
"Udziec z kurczaka bez skóry, surowy",Mięso i drób,120,20.0,4.5,0.0,0.0,białko_tłuste,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,duszenie",,meat,LINIOWY,słowo_kluczowe: białko_tłuste; kategoria Mięso i drób,
"Udko z kurczaka ze skórą, pieczone",Mięso i drób,215,25.0,13.0,0.0,0.0,białko_tłuste,NISKA,SŁOWO_KLUCZOWE,"pieczenie,duszenie",,meat,LINIOWY,słowo_kluczowe: białko_tłuste; kategoria Mięso i drób; wartości po obróbce termicznej (katalog diet liczy na surowo),
"Skrzydełka z kurczaka, pieczone",Mięso i drób,245,27.0,15.0,0.0,0.0,białko_tłuste,NISKA,SŁOWO_KLUCZOWE,"pieczenie,duszenie",,meat,LINIOWY,słowo_kluczowe: białko_tłuste; kategoria Mięso i drób; wartości po obróbce termicznej (katalog diet liczy na surowo),
Mięso mielone z kurczaka,Mięso i drób,143,20.0,7.0,0.0,0.0,białko_mielone,WYSOKA,SŁOWO_KLUCZOWE,"smażenie,pieczenie",,meat,LINIOWY,słowo_kluczowe: białko_mielone; kategoria Mięso i drób,
"Serca drobiowe, surowe",Mięso i drób,153,15.0,9.3,0.7,0.0,białko_chude,NISKA,KATEGORIA,"smażenie,pieczenie",,meat,LINIOWY,kategoria: białko_chude,
"Udziec z indyka, surowy",Mięso i drób,125,20.0,4.8,0.0,0.0,białko_tłuste,ŚREDNIA,SŁOWO_KLUCZOWE,"pieczenie,duszenie",,meat,LINIOWY,słowo_kluczowe: białko_tłuste; kategoria Mięso i drób,
"Wołowina chuda (ligawa), surowa",Mięso i drób,158,21.0,8.0,0.0,0.0,białko_chude,NISKA,KATEGORIA,"smażenie,pieczenie",,meat,LINIOWY,kategoria: białko_chude,
"Wołowina, rostbef, surowy",Mięso i drób,175,22.0,9.5,0.0,0.0,białko_chude,NISKA,KATEGORIA,"smażenie,pieczenie",,meat,LINIOWY,kategoria: białko_chude,
"Wołowina, antrykot, surowy",Mięso i drób,250,19.0,19.0,0.0,0.0,białko_chude,NISKA,KATEGORIA,"smażenie,pieczenie",,meat,LINIOWY,kategoria: białko_chude,
